t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man
2.200000000000000000e+01, 5.000000000000000000e+01, 1.024223214759439884e+02, -6.018588317158543788e+01, 7.763561695641452154e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.137999999999999901e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.300000000000000000e+01, 5.000000000000000000e+01, 1.034184713753563472e+02, -6.132535676431215421e+01, 7.906885388955807059e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.116000000000000014e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.400000000000000000e+01, 5.000000000000000000e+01, 1.025581600985911166e+02, -5.891869529261900595e+01, 6.360535194027885808e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.135000000000000142e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.500000000000000000e+01, 5.000000000000000000e+01, 1.015167306582963960e+02, -5.631798000425104078e+01, 4.801249345954646586e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.157999999999999829e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.600000000000000000e+01, 5.000000000000000000e+01, 1.026939987212382732e+02, -5.809046085758460265e+01, 5.396462136346332983e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.132000000000000028e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.700000000000000000e+01, 5.000000000000000000e+01, 1.018336874444730427e+02, -5.592820865838759659e+01, 4.094521213914556590e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.151000000000000156e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.800000000000000000e+01, 5.000000000000000000e+01, 1.024223214759439884e+02, -5.664953505279953561e+01, 4.227213576855548105e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.137999999999999901e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
2.900000000000000000e+01, 5.000000000000000000e+01, 1.002036239727073479e+02, -5.201659535009236635e+01, 1.812971377385020233e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.187000000000000099e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.000000000000000000e+01, 5.000000000000000000e+01, 1.006564193815311654e+02, -5.270159610935537842e+01, 2.045176727824209451e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.176999999999999957e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.100000000000000000e+01, 5.000000000000000000e+01, 1.002036239727073479e+02, -5.164097455762384925e+01, 1.437350584916500473e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.187000000000000099e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.200000000000000000e+01, 5.000000000000000000e+01, 1.006564193815311654e+02, -5.236254492901350943e+01, 1.706125547482341798e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.176999999999999957e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.300000000000000000e+01, 5.000000000000000000e+01, 9.730573335623502373e+01, -4.582128366035433942e+01, -1.484449695880683429e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.251000000000000156e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.400000000000000000e+01, 5.000000000000000000e+01, 9.875467866447118581e+01, -4.872263090572205613e+01, -3.204775874913057265e-02, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.219000000000000128e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.500000000000000000e+01, 5.000000000000000000e+01, 9.966026948211880665e+01, -5.044876631492871866e+01, 7.884968328099130064e-01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.198999999999999844e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.600000000000000000e+01, 5.000000000000000000e+01, 9.861884004182405761e+01, -4.839053239529816608e+01, -2.283076465258943033e-01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.221999999999999886e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.700000000000000000e+01, 5.000000000000000000e+01, 9.803020601035309767e+01, -4.729279997280390546e+01, -7.374060375491893193e-01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.235000000000000142e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.800000000000000000e+01, 5.000000000000000000e+01, 9.816604463300025429e+01, -4.762304449518217098e+01, -5.430001378180835392e-01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.232000000000000028e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
3.900000000000000000e+01, 5.000000000000000000e+01, 9.703405611094073890e+01, -4.552214065370913687e+01, -1.511915457231604476e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.257000000000000028e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.000000000000000000e+01, 5.000000000000000000e+01, 9.716989473358789553e+01, -4.592778970542691042e+01, -1.242105028160984004e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.253999999999999915e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.100000000000000000e+01, 5.000000000000000000e+01, 9.716989473358789553e+01, -4.604871831217920430e+01, -1.121176421408688340e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.253999999999999915e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.200000000000000000e+01, 5.000000000000000000e+01, 9.816604463300025429e+01, -4.805319041750725262e+01, -1.128542154930004537e-01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.232000000000000028e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.300000000000000000e+01, 5.000000000000000000e+01, 9.861884004182405761e+01, -4.892568531012824451e+01, 3.068452683041849038e-01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.221999999999999886e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.400000000000000000e+01, 5.000000000000000000e+01, 9.599262667064600407e+01, -4.389906713215860634e+01, -2.093559538487400395e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.280000000000000071e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.500000000000000000e+01, 5.000000000000000000e+01, 9.540399263917505834e+01, -4.298293152106361248e+01, -2.421061118111448529e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.292999999999999972e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.600000000000000000e+01, 5.000000000000000000e+01, 9.513231539388078772e+01, -4.270173610016116328e+01, -2.430579293719623557e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.298999999999999844e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.700000000000000000e+01, 5.000000000000000000e+01, 9.409088595358603868e+01, -4.095690433428176647e+01, -3.133981619304273991e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.321999999999999886e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.800000000000000000e+01, 5.000000000000000000e+01, 9.309473605417366571e+01, -3.936670503335260918e+01, -3.728031020821059194e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.344000000000000128e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.900000000000000000e+01, 5.000000000000000000e+01, 9.323057467682080812e+01, -3.998811020989963083e+01, -3.242464466921179955e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.341000000000000014e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
5.000000000000000000e+01, 5.000000000000000000e+01, 9.218914523652605908e+01, -3.832232179431039754e+01, -3.866823442215660211e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.364000000000000057e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
5.100000000000000000e+01, 5.000000000000000000e+01, 9.526815401652791593e+01, -4.455703925272897692e+01, -7.111147637989385650e-01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.296000000000000085e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
