tm,MVm,PVm
8.200000000000000000e+01,1.000000000000000000e+00,6.600000000000001699e-02
8.300000000000000000e+01,1.000000000000000000e+00,6.050000000000003986e-02
8.400000000000000000e+01,1.000000000000000000e+00,7.824999999999988909e-02
8.500000000000000000e+01,1.000000000000000000e+00,7.824999999999988909e-02
8.600000000000000000e+01,1.000000000000000000e+00,6.199999999999992323e-02
8.700000000000000000e+01,1.000000000000000000e+00,8.149999999999994749e-02
8.800000000000000000e+01,1.000000000000000000e+00,7.575000000000002565e-02
8.900000000000000000e+01,1.000000000000000000e+00,8.300000000000000433e-02
9.000000000000000000e+01,1.000000000000000000e+00,8.774999999999995304e-02
9.100000000000000000e+01,1.000000000000000000e+00,8.449999999999988076e-02
9.200000000000000000e+01,1.000000000000000000e+00,8.874999999999992617e-02
9.300000000000000000e+01,1.000000000000000000e+00,8.874999999999992617e-02
9.400000000000000000e+01,1.000000000000000000e+00,9.100000000000001144e-02
9.500000000000000000e+01,1.000000000000000000e+00,7.974999999999994593e-02
9.600000000000000000e+01,1.000000000000000000e+00,9.100000000000001144e-02
9.700000000000000000e+01,1.000000000000000000e+00,9.100000000000001144e-02
9.800000000000000000e+01,1.000000000000000000e+00,9.175000000000003986e-02
9.900000000000000000e+01,1.000000000000000000e+00,9.100000000000001144e-02
1.000000000000000000e+02,1.000000000000000000e+00,1.022499999999999104e-01
1.010000000000000000e+02,1.000000000000000000e+00,9.499999999999993172e-02
1.020000000000000000e+02,1.000000000000000000e+00,9.599999999999990485e-02
1.030000000000000000e+02,1.000000000000000000e+00,9.900000000000001854e-02
1.040000000000000000e+02,1.000000000000000000e+00,9.900000000000001854e-02
1.050000000000000000e+02,1.000000000000000000e+00,9.499999999999993172e-02
1.060000000000000000e+02,1.000000000000000000e+00,9.900000000000001854e-02
1.070000000000000000e+02,1.000000000000000000e+00,8.449999999999988076e-02
1.080000000000000000e+02,1.000000000000000000e+00,1.054999999999999688e-01
1.090000000000000000e+02,1.000000000000000000e+00,9.599999999999990485e-02
1.100000000000000000e+02,1.000000000000000000e+00,1.072499999999999842e-01
1.110000000000000000e+02,1.000000000000000000e+00,1.087500000000000411e-01
1.120000000000000000e+02,1.000000000000000000e+00,1.022499999999999104e-01
1.130000000000000000e+02,1.000000000000000000e+00,1.080000000000000127e-01
1.140000000000000000e+02,1.000000000000000000e+00,1.337500000000000355e-01
1.150000000000000000e+02,1.000000000000000000e+00,1.119999999999999191e-01
1.160000000000000000e+02,1.000000000000000000e+00,1.119999999999999191e-01
1.170000000000000000e+02,1.000000000000000000e+00,1.000000000000000056e-01
1.180000000000000000e+02,1.000000000000000000e+00,1.152499999999999913e-01
1.190000000000000000e+02,1.000000000000000000e+00,9.900000000000001854e-02
1.200000000000000000e+02,1.000000000000000000e+00,1.152499999999999913e-01
1.210000000000000000e+02,1.000000000000000000e+00,1.032499999999998835e-01
1.220000000000000000e+02,1.000000000000000000e+00,1.184999999999998693e-01
1.230000000000000000e+02,1.000000000000000000e+00,1.272499999999999187e-01
1.240000000000000000e+02,1.000000000000000000e+00,1.217499999999999416e-01
1.250000000000000000e+02,1.000000000000000000e+00,1.207499999999999546e-01
1.260000000000000000e+02,1.000000000000000000e+00,1.232499999999999984e-01
1.270000000000000000e+02,1.000000000000000000e+00,1.224999999999999700e-01
1.280000000000000000e+02,1.000000000000000000e+00,1.232499999999999984e-01
1.290000000000000000e+02,1.000000000000000000e+00,1.232499999999999984e-01
1.300000000000000000e+02,1.000000000000000000e+00,1.217499999999999416e-01
1.310000000000000000e+02,1.000000000000000000e+00,1.250000000000000000e-01
1.320000000000000000e+02,1.000000000000000000e+00,1.177500000000000213e-01
1.330000000000000000e+02,1.000000000000000000e+00,1.272499999999999187e-01
1.340000000000000000e+02,1.000000000000000000e+00,1.144999999999999629e-01
1.350000000000000000e+02,1.000000000000000000e+00,1.312500000000000056e-01
1.360000000000000000e+02,1.000000000000000000e+00,1.184999999999998693e-01
1.370000000000000000e+02,1.000000000000000000e+00,1.312500000000000056e-01
1.380000000000000000e+02,1.000000000000000000e+00,1.217499999999999416e-01
1.390000000000000000e+02,1.000000000000000000e+00,1.434999999999998777e-01
1.400000000000000000e+02,1.000000000000000000e+00,1.322499999999999787e-01
1.410000000000000000e+02,1.000000000000000000e+00,1.394999999999999574e-01
1.420000000000000000e+02,1.000000000000000000e+00,1.330000000000000071e-01
1.430000000000000000e+02,1.000000000000000000e+00,1.272499999999999187e-01
1.440000000000000000e+02,1.000000000000000000e+00,1.312500000000000056e-01
1.450000000000000000e+02,1.000000000000000000e+00,1.377499999999999558e-01
1.460000000000000000e+02,1.000000000000000000e+00,1.352499999999999258e-01
1.470000000000000000e+02,1.000000000000000000e+00,1.384999999999999842e-01
1.480000000000000000e+02,1.000000000000000000e+00,1.232499999999999984e-01
1.490000000000000000e+02,1.000000000000000000e+00,1.377499999999999558e-01
1.500000000000000000e+02,1.000000000000000000e+00,1.352499999999999258e-01
1.510000000000000000e+02,1.000000000000000000e+00,1.152499999999999913e-01
1.520000000000000000e+02,1.000000000000000000e+00,1.402499999999999858e-01
1.530000000000000000e+02,1.000000000000000000e+00,1.402499999999999858e-01
1.540000000000000000e+02,1.000000000000000000e+00,1.402499999999999858e-01
1.550000000000000000e+02,1.000000000000000000e+00,1.377499999999999558e-01
1.560000000000000000e+02,1.000000000000000000e+00,1.410000000000000142e-01
1.570000000000000000e+02,1.000000000000000000e+00,1.449999999999999345e-01
1.580000000000000000e+02,1.000000000000000000e+00,1.442499999999999061e-01
1.590000000000000000e+02,1.000000000000000000e+00,1.449999999999999345e-01
1.600000000000000000e+02,1.000000000000000000e+00,1.490000000000000213e-01
1.610000000000000000e+02,1.000000000000000000e+00,1.482499999999999929e-01
1.620000000000000000e+02,1.000000000000000000e+00,1.467499999999999361e-01
1.630000000000000000e+02,1.000000000000000000e+00,1.474999999999999645e-01
1.640000000000000000e+02,1.000000000000000000e+00,1.467499999999999361e-01
1.650000000000000000e+02,1.000000000000000000e+00,1.490000000000000213e-01
1.660000000000000000e+02,1.000000000000000000e+00,1.474999999999999645e-01
1.670000000000000000e+02,1.000000000000000000e+00,1.572499999999999731e-01
1.680000000000000000e+02,1.000000000000000000e+00,1.482499999999999929e-01
1.690000000000000000e+02,1.000000000000000000e+00,1.562500000000000000e-01
1.700000000000000000e+02,1.000000000000000000e+00,1.547499999999999432e-01
1.710000000000000000e+02,1.000000000000000000e+00,1.384999999999999842e-01
1.720000000000000000e+02,1.000000000000000000e+00,1.482499999999999929e-01
1.730000000000000000e+02,1.000000000000000000e+00,1.499999999999999944e-01
1.740000000000000000e+02,1.000000000000000000e+00,1.634999999999999787e-01
1.750000000000000000e+02,1.000000000000000000e+00,1.554999999999999716e-01
1.760000000000000000e+02,1.000000000000000000e+00,1.427500000000000158e-01
1.770000000000000000e+02,1.000000000000000000e+00,1.562500000000000000e-01
1.780000000000000000e+02,1.000000000000000000e+00,1.499999999999999944e-01
1.790000000000000000e+02,1.000000000000000000e+00,1.554999999999999716e-01
1.800000000000000000e+02,1.000000000000000000e+00,1.547499999999999432e-01
1.810000000000000000e+02,1.000000000000000000e+00,1.732499999999999873e-01
1.820000000000000000e+02,1.000000000000000000e+00,1.522499999999999132e-01
1.830000000000000000e+02,1.000000000000000000e+00,1.572499999999999731e-01
1.840000000000000000e+02,1.000000000000000000e+00,1.554999999999999716e-01
