t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man
4.000000000000000000e+01, 5.000000000000000000e+01, 9.454368136240982778e+01, -4.310854819322119624e+01, -1.435133169188630209e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.312000000000000099e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.100000000000000000e+01, 5.000000000000000000e+01, 9.495119723035125503e+01, -4.402362648370045406e+01, -9.275707466508025245e-01, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.303000000000000114e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.200000000000000000e+01, 5.000000000000000000e+01, 9.440784273976269958e+01, -4.308012354029255420e+01, -1.327719199470145384e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.314999999999999858e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.300000000000000000e+01, 5.000000000000000000e+01, 9.336641329946795054e+01, -4.122791974739725163e+01, -2.138493552070702464e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.337999999999999901e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.400000000000000000e+01, 5.000000000000000000e+01, 9.409088595358603868e+01, -4.281453101240135339e+01, -1.276354941184687508e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.321999999999999886e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.500000000000000000e+01, 5.000000000000000000e+01, 9.264194064534987660e+01, -4.018196961903996112e+01, -2.459971026309913267e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.353999999999999915e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.600000000000000000e+01, 5.000000000000000000e+01, 9.309473605417366571e+01, -4.128297462906799353e+01, -1.811761425105670398e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.344000000000000128e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.700000000000000000e+01, 5.000000000000000000e+01, 9.232498385917320149e+01, -3.999480071299142026e+01, -2.330183146181783016e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.360999999999999943e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.800000000000000000e+01, 5.000000000000000000e+01, 9.264194064534987660e+01, -4.082471756467522539e+01, -1.817223080674652991e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.353999999999999915e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
4.900000000000000000e+01, 5.000000000000000000e+01, 9.146467258240798515e+01, -3.876171849380664725e+01, -2.702954088601335236e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.380000000000000071e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
5.000000000000000000e+01, 5.000000000000000000e+01, 9.101187717358418183e+01, -3.816336448893316202e+01, -2.848512684651016702e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.389999999999999858e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
5.100000000000000000e+01, 5.000000000000000000e+01, 9.160051120505512756e+01, -3.956064935461107268e+01, -2.039861850444052216e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.376999999999999957e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
5.200000000000000000e+01, 5.000000000000000000e+01, 9.087603855093703942e+01, -3.838083355849750689e+01, -2.495204992439533420e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.392999999999999972e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
5.300000000000000000e+01, 5.000000000000000000e+01, 9.046852268299562638e+01, -3.784840432520368836e+01, -2.620118357791938912e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.401999999999999957e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
5.400000000000000000e+01, 5.000000000000000000e+01, 8.987988865152468065e+01, -3.698353331971608782e+01, -2.896355331808594613e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.414999999999999858e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
5.500000000000000000e+01, 5.000000000000000000e+01, 8.956293186534801976e+01, -3.666246072995144800e+01, -2.900471135396574418e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.421999999999999886e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
5.600000000000000000e+01, 5.000000000000000000e+01, 8.870262058858278920e+01, -3.530797965970167240e+01, -3.394640928881114572e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.441000000000000014e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
5.700000000000000000e+01, 5.000000000000000000e+01, 8.856678196593564678e+01, -3.538002211898493954e+01, -3.186759846950710795e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.444000000000000128e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
5.800000000000000000e+01, 5.000000000000000000e+01, 8.883845921122993161e+01, -3.620718262403598686e+01, -2.631276587193944749e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.437999999999999901e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
5.900000000000000000e+01, 5.000000000000000000e+01, 8.811398655711185768e+01, -3.508494566264772629e+01, -3.029040894464130051e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.453999999999999915e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
6.000000000000000000e+01, 5.000000000000000000e+01, 8.707255711681710864e+01, -3.339837879863409853e+01, -3.674178318183008329e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.476999999999999957e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
6.100000000000000000e+01, 5.000000000000000000e+01, 8.707255711681710864e+01, -3.375608869828340630e+01, -3.316468418533701890e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.476999999999999957e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
6.200000000000000000e+01, 5.000000000000000000e+01, 8.693671849416996622e+01, -3.382052045432634912e+01, -3.116198039843617540e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.480000000000000071e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
6.300000000000000000e+01, 5.000000000000000000e+01, 8.575945043122808897e+01, -3.188398672129722655e+01, -3.875463709930863754e+00, 0.000000000000000000e+00, 4.400000000000000000e+01, 2.505999999999999872e+01, 5.000000000000000000e+01, 1.000000000000000000e+00
